"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1997/07/01","00:00","1.243","0.299","-0.482","-2.516","-2.489","-4.495","-5.676","-6.824","0"
"1997/08/01","00:00","1.404","0.341","-0.308","-2.32","-2.305","-4.301","-5.279","-6.414","0"
"1997/09/01","00:00","0.899","0.059","-0.344","-2.316","-2.308","-4.272","-5","-6.227","0"
"1997/10/01","00:00","1.358","0.135","-0.23","-2.215","-2.188","-4.147","-4.918","-6.106","0"
"1997/11/01","00:00","2.031","0.696","0.121","-1.886","-1.85","-3.822","-4.951","-6.257","0"
"1997/12/01","00:00","1.988","0.801","0.033","-1.995","-1.96","-3.953","-5.233","-6.44","0"
"1998/01/01","00:00","1.814","0.86","0.118","-1.932","-1.905","-3.927","-5.121","-6.178","0"
"1998/02/01","00:00","2.776","0.781","0.085","-1.896","-1.895","-3.875","-4.816","-7.116","0"
"1998/03/01","00:00","0.797","-0.049","-0.509","-2.552","-2.541","-4.573","-5.331","-6.375","0"
"1998/04/01","00:00","0.761","-0.361","-0.81","-2.838","-2.808","-4.806","-5.774","-7.067","0"
"1998/05/01","00:00","1.109","-0.167","-0.732","-2.736","-2.69","-4.649","-5.814","-7.287","0"
"1998/06/01","00:00","1.191","0.075","-0.623","-2.631","-2.598","-4.573","-5.801","-7.093","0"
"1998/07/01","00:00","1.037","0.046","-0.689","-2.618","-2.603","-4.518","-5.571","-6.765","0"
"1998/08/01","00:00","0.863","0.075","-0.568","-2.474","-2.459","-4.35","-5.269","-6.473","0"
"1998/09/01","00:00","0.876","-0.003","-0.433","-2.392","-2.365","-4.298","-5.138","-5.919","0"
"1998/10/01","00:00","0.81","-0.417","-0.748","-2.736","-2.712","-4.675","-5.564","-6.457","0"
"1998/11/01","00:00","1.611","-0.046","-0.643","-2.697","-2.659","-4.675","-5.771","-7.503","0"
"1998/12/01","00:00","1.444","-0.131","-0.919","-2.995","-2.977","-5.036","-6.368","-7.674","0"
"1999/01/01","00:00","1.129","0.079","-0.735","-2.795","-2.751","-4.767","-6.076","-7.782","0"
"1999/02/01","00:00","0.371","-0.203","-0.886","-2.884","-2.864","-4.843","-5.869","-7.48","0"
"1999/03/01","00:00","0.577","-0.374","-0.804","-2.828","-2.817","-4.829","-5.669","-6.772","0"
"1999/04/01","00:00","0.538","-0.696","-1.115","-3.11","-3.084","-5.052","-5.945","-7.146","0"
"1999/05/01","00:00","0.676","-0.479","-1.122","-3.114","-3.074","-5.026","-6.217","-7.828","0"
"1999/06/01","00:00","0.994","-0.148","-0.896","-2.9","-2.854","-4.813","-6.148","-7.897","0"
"1999/07/01","00:00","1.48","0.046","-0.719","-2.726","-2.689","-4.659","-5.951","-7.267","0"
"1999/08/01","00:00","1.089","-0.131","-0.761","-2.749","-2.726","-4.692","-5.663","-6.998","0"
"1999/09/01","00:00","0.781","-0.115","-0.61","-2.602","-2.575","-4.541","-5.387","-6.135","0"
"1999/10/01","00:00","0.833","-0.354","-0.745","-2.749","-2.707","-4.669","-5.692","-6.962","0"
"1999/11/01","00:00","0.801","-0.203","-0.725","-2.769","-2.721","-4.718","-5.925","-8.104","0"
"1999/12/01","00:00","1.27","-0.243","-0.991","-3.022","-2.977","-4.964","-6.237","-8.117","0"
"2000/01/01","00:00","1.503","-0.026","-0.843","-2.831","-2.805","-4.767","-6.06","-7.569","0"
"2000/02/01","00:00","1.46","0.282","-0.41","-2.418","-2.384","-4.357","-5.436","-7.162","0"
"2000/03/01","00:00","0.095","-0.538","-1.017","-2.949","-2.925","-4.833","-5.778","-7.142","0"
"2000/04/01","00:00","0.656","-0.643","-1.024","-2.992","-2.954","-4.885","-5.886","-6.555","0"
"2000/05/01","00:00","0.472","-0.413","-1.01","-2.999","-2.956","-4.902","-6.047","-7.221","0"
"2000/06/01","00:00","1.227","0.115","-0.653","-2.674","-2.625","-4.596","-5.942","-7.579","0"
"2000/07/01","00:00","1.552","0.19","-0.636","-2.71","-2.685","-4.734","-6.086","-7.582","0"
"2000/08/01","00:00","1.375","0.059","-0.597","-2.648","-2.623","-4.649","-5.761","-7.215","0"
"2000/09/01","00:00","0.571","-0.079","-0.522","-2.507","-2.485","-4.449","-5.272","-6.066","0"
"2000/10/01","00:00","0.833","-0.164","-0.568","-2.536","-2.498","-4.429","-5.456","-6.198","0"
"2000/11/01","00:00","0.719","-0.249","-0.82","-2.805","-2.748","-4.675","-5.965","-7.103","0"
"2000/12/01","00:00","1.112","-0.092","-0.804","-2.802","-2.744","-4.685","-6.119","-7.733","0"
"2001/01/01","00:00","NaN","0.033","-0.732","-2.779","-2.713","-4.695","-5.945","NaN","13"
"2001/02/01","00:00","0.876","0","-0.696","-2.753","-2.72","-4.744","-5.876","-8.179","0"
"2001/03/01","00:00","1.056","-0.262","-0.791","-2.785","-2.751","-4.711","-5.689","-7.024","0"
"2001/04/01","00:00","0.115","-0.653","-1.145","-3.179","-3.13","-5.115","-6.289","-6.801","0"
"2001/05/01","00:00","0.715","-0.24","-0.823","-2.848","-2.794","-4.764","-6.05","-7.175","0"
"2001/06/01","00:00","1.089","-0.039","-0.837","-2.861","-2.817","-4.797","-6.122","-7.503","0"
"2001/07/01","00:00","1.28","0.21","-0.643","-2.641","-2.602","-4.56","-5.909","-7.507","0"
"2001/08/01","00:00","1.132","0.003","-0.719","-2.7","-2.664","-4.61","-5.83","-7.346","0"
"2001/09/01","00:00","0.735","-0.066","-0.564","-2.523","-2.498","-4.432","-5.42","-6.677","0"
"2001/10/01","00:00","0.81","-0.223","-0.646","-2.608","-2.575","-4.505","-5.486","-6.253","0"
"2001/11/01","00:00","1.188","0.118","-0.518","-2.523","-2.469","-4.419","-5.702","-6.663","0"
"2001/12/01","00:00","1.69","0.213","-0.61","-2.667","-2.615","-4.619","-6.129","-7.651","0"
"2002/01/01","00:00","1.421","0.144","-0.702","-2.759","-2.725","-4.747","-6.191","-7.648","0"
"2002/02/01","00:00","1.05","-0.095","-0.827","-2.799","-2.774","-4.721","-5.869","-7.11","0"
